chunk_uid,source,page,chunk_id,text_length
Young_Statistical_2025.pdf::p170::c0,Young_Statistical_2025.pdf,170,0,606
Young_Statistical_2025.pdf::p171::c0,Young_Statistical_2025.pdf,171,0,575
Young_Statistical_2025.pdf::p172::c0,Young_Statistical_2025.pdf,172,0,359
Young_Statistical_2025.pdf::p173::c0,Young_Statistical_2025.pdf,173,0,900
Young_Statistical_2025.pdf::p173::c1,Young_Statistical_2025.pdf,173,1,383
Young_Statistical_2025.pdf::p174::c0,Young_Statistical_2025.pdf,174,0,896
Young_Statistical_2025.pdf::p174::c1,Young_Statistical_2025.pdf,174,1,319
Young_Statistical_2025.pdf::p175::c0,Young_Statistical_2025.pdf,175,0,849
Young_Statistical_2025.pdf::p176::c0,Young_Statistical_2025.pdf,176,0,822
Young_Statistical_2025.pdf::p177::c0,Young_Statistical_2025.pdf,177,0,900
Young_Statistical_2025.pdf::p178::c0,Young_Statistical_2025.pdf,178,0,862
Young_Statistical_2025.pdf::p178::c1,Young_Statistical_2025.pdf,178,1,630
Young_Statistical_2025.pdf::p179::c0,Young_Statistical_2025.pdf,179,0,878
Young_Statistical_2025.pdf::p179::c1,Young_Statistical_2025.pdf,179,1,895
Young_Statistical_2025.pdf::p179::c2,Young_Statistical_2025.pdf,179,2,183
Young_Statistical_2025.pdf::p180::c0,Young_Statistical_2025.pdf,180,0,897
Young_Statistical_2025.pdf::p180::c1,Young_Statistical_2025.pdf,180,1,366
Young_Statistical_2025.pdf::p181::c0,Young_Statistical_2025.pdf,181,0,897
Young_Statistical_2025.pdf::p181::c1,Young_Statistical_2025.pdf,181,1,445
Young_Statistical_2025.pdf::p182::c0,Young_Statistical_2025.pdf,182,0,898
Young_Statistical_2025.pdf::p182::c1,Young_Statistical_2025.pdf,182,1,362
Young_Statistical_2025.pdf::p183::c0,Young_Statistical_2025.pdf,183,0,900
Young_Statistical_2025.pdf::p183::c1,Young_Statistical_2025.pdf,183,1,498
Young_Statistical_2025.pdf::p184::c0,Young_Statistical_2025.pdf,184,0,899
Young_Statistical_2025.pdf::p184::c1,Young_Statistical_2025.pdf,184,1,610
Young_Statistical_2025.pdf::p185::c0,Young_Statistical_2025.pdf,185,0,882
Young_Statistical_2025.pdf::p185::c1,Young_Statistical_2025.pdf,185,1,595
Young_Statistical_2025.pdf::p186::c0,Young_Statistical_2025.pdf,186,0,892
Young_Statistical_2025.pdf::p186::c1,Young_Statistical_2025.pdf,186,1,272
Young_Statistical_2025.pdf::p187::c0,Young_Statistical_2025.pdf,187,0,883
Young_Statistical_2025.pdf::p187::c1,Young_Statistical_2025.pdf,187,1,724
Young_Statistical_2025.pdf::p188::c0,Young_Statistical_2025.pdf,188,0,748
Young_Statistical_2025.pdf::p189::c0,Young_Statistical_2025.pdf,189,0,897
Young_Statistical_2025.pdf::p189::c1,Young_Statistical_2025.pdf,189,1,894
